id_localidade,cep_prefix,cidade,estado,lat,lng,fl_sp_capital
3484,7073,guarulhos,SP,-23.447172,-46.563157,N
3485,7074,guarulhos,SP,-23.449907,-46.562949,N
3486,7075,guarulhos,SP,-23.425477,-46.550636,N
3487,7076,guarulhos,SP,-23.43187,-46.563143,N
3488,7077,guarulhos,SP,-23.436154,-46.552332,N
3489,7080,guarulhos,SP,-23.44494,-46.546581,N
3490,7081,guarulhos,SP,-23.443467,-46.553221,N
3491,7082,guarulhos,SP,-23.436537,-46.544181,N
3492,7083,guarulhos,SP,-23.437615,-46.550224,N
3493,7084,guarulhos,SP,-23.429464,-46.54959,N
3494,7085,guarulhos,SP,-23.427721,-46.548094,N
3495,7087,guarulhos,SP,-23.418933,-46.523388,N
3496,7090,guarulhos,SP,-23.468065,-46.534915,N
3497,7091,guarulhos,SP,-23.464178,-46.539335,N
3498,7092,guarulhos,SP,-23.463483,-46.54535,N
3499,7093,guarulhos,SP,-23.457896,-46.540663,N
3500,7094,guarulhos,SP,-23.453324,-46.539934,N
3501,7095,guarulhos,SP,-23.461066,-46.534826,N
3502,7096,guarulhos,SP,-23.451292,-46.53871,N
3503,7097,guarulhos,SP,-23.445655,-46.541525,N
3504,7110,guarulhos,SP,-23.46722,-46.526394,N
3505,7111,guarulhos,SP,-23.46489,-46.522338,N
3506,7112,guarulhos,SP,-23.468704,-46.516142,N
3507,7113,guarulhos,SP,-23.463611,-46.517677,N
3508,7114,guarulhos,SP,-23.454434,-46.528725,N
3509,7115,guarulhos,SP,-23.450764,-46.532905,N
3510,7120,guarulhos,SP,-23.454908,-46.525772,N
3511,7121,guarulhos,SP,-23.451112,-46.522941,N
3512,7122,guarulhos,SP,-23.448746,-46.517988,N
3513,7123,guarulhos,SP,-23.444882,-46.525608,N
3514,7124,guarulhos,SP,-23.433637,-46.533773,N
3515,7130,guarulhos,SP,-23.442493,-46.52064,N
3516,7131,guarulhos,SP,-23.433619,-46.52525,N
3517,7132,guarulhos,SP,-23.434801,-46.517025,N
3518,7133,guarulhos,SP,-23.436711,-46.51134,N
3519,7134,guarulhos,SP,-23.428291,-46.513189,N
3520,7135,guarulhos,SP,-23.425556,-46.525292,N
3521,7140,guarulhos,SP,-23.429964,-46.49797,N
3522,7141,guarulhos,SP,-23.42874,-46.507542,N
3523,7142,guarulhos,SP,-23.414532,-46.490559,N
3524,7143,guarulhos,SP,-23.422442,-46.501156,N
3525,7144,guarulhos,SP,-23.409198,-46.514932,N
3526,7145,guarulhos,SP,-23.41462,-46.495093,N
3527,7150,guarulhos,SP,-23.417809,-46.462966,N
3528,7151,guarulhos,SP,-23.409444,-46.455488,N
3529,7152,guarulhos,SP,-23.405071,-46.4709,N
3530,7153,guarulhos,SP,-23.378122,-46.448306,N
3531,7154,guarulhos,SP,-23.374335,-46.44879,N
3532,7155,guarulhos,SP,-23.41623,-46.467585,N
3533,7156,guarulhos,SP,-23.394531,-46.45129,N
3534,7159,guarulhos,SP,-23.382469,-46.403071,N
3535,7160,guarulhos,SP,-23.410633,-46.445164,N
3536,7161,guarulhos,SP,-23.39825,-46.438338,N
3537,7162,guarulhos,SP,-23.405216,-46.445483,N
3538,7170,guarulhos,SP,-23.431867,-46.434923,N
3539,7171,guarulhos,SP,-23.421874,-46.43689,N
3540,7172,guarulhos,SP,-23.421321,-46.430769,N
3541,7173,guarulhos,SP,-23.430801,-46.429507,N
3542,7174,guarulhos,SP,-23.424944,-46.422657,N
3543,7175,guarulhos,SP,-23.409187,-46.402111,N
3544,7176,guarulhos,SP,-23.40962,-46.386426,N
3545,7177,guarulhos,SP,-23.419826,-46.398335,N
3546,7178,guarulhos,SP,-23.400697,-46.398165,N
3547,7179,guarulhos,SP,-23.404046,-46.418774,N
3548,7180,guarulhos,SP,-23.452265,-46.476441,N
3549,7181,guarulhos,SP,-23.444126,-46.467541,N
3550,7182,guarulhos,SP,-23.44267,-46.463682,N
3551,7183,guarulhos,SP,-23.440534,-46.462815,N
3552,7184,guarulhos,SP,-23.417696,-46.393666,N
3553,7190,guarulhos,SP,-23.457326,-46.49715,N
3554,7191,guarulhos,SP,-23.457188,-46.507955,N
3555,7192,guarulhos,SP,-23.452203,-46.506436,N
3556,7193,guarulhos,SP,-23.447285,-46.502478,N
3557,7194,guarulhos,SP,-23.442891,-46.506739,N
3558,7195,guarulhos,SP,-23.447799,-46.511051,N
3559,7196,guarulhos,SP,-23.454106,-46.511503,N
3560,7197,guarulhos,SP,-23.460266,-46.515505,N
3561,7210,guarulhos,SP,-23.455428,-46.437515,N
3562,7215,guarulhos,SP,-23.459716,-46.445199,N
3563,7220,guarulhos,SP,-23.469969,-46.466396,N
3564,7221,guarulhos,SP,-23.471205,-46.47271,N
3565,7222,guarulhos,SP,-23.464533,-46.472558,N
3566,7223,guarulhos,SP,-23.46241,-46.478447,N
3567,7224,guarulhos,SP,-23.465864,-46.483452,N
3568,7230,guarulhos,SP,-23.454802,-46.456372,N
3569,7231,guarulhos,SP,-23.455735,-46.464135,N
3570,7232,guarulhos,SP,-23.466503,-46.463473,N
3571,7240,guarulhos,SP,-23.447963,-46.438788,N
3572,7241,guarulhos,SP,-23.446977,-46.426683,N
3573,7242,guarulhos,SP,-23.438737,-46.422619,N
3574,7243,guarulhos,SP,-23.438617,-46.412876,N
3575,7244,guarulhos,SP,-23.446898,-46.413526,N
3576,7250,guarulhos,SP,-23.420395,-46.374965,N
3577,7251,guarulhos,SP,-23.43558,-46.40226,N
3578,7252,guarulhos,SP,-23.441532,-46.430015,N
3579,7260,guarulhos,SP,-23.454083,-46.42753,N
3580,7261,guarulhos,SP,-23.446492,-46.408626,N
3581,7262,guarulhos,SP,-23.475644,-46.393196,N
3582,7263,guarulhos,SP,-23.458085,-46.414651,N
3583,7270,guarulhos,SP,-23.462049,-46.428988,N
3584,7271,guarulhos,SP,-23.411975,-46.459606,N
3585,7272,guarulhos,SP,-23.459865,-46.440786,N
3586,7273,guarulhos,SP,-23.457844,-46.421026,N
3587,7283,guarulhos,SP,-23.439316,-46.4609,N
3588,7400,aruja,SP,-23.396225,-46.324076,N
3589,7401,arujá,SP,-23.38913,-46.321522,N
3590,7402,aruja,SP,-23.396335,-46.314706,N
3591,7403,aruja,SP,-23.392561,-46.310939,N
3592,7404,arujá,SP,-23.389574,-46.29971,N
3593,7405,aruja,SP,-23.388765,-46.301464,N
3594,7407,arujá,SP,-23.377843,-46.31061,N
3595,7411,arujá,SP,-23.405156,-46.342967,N
3596,7412,aruja,SP,,,N
3597,7413,aruja,SP,-23.408041,-46.361585,N
3598,7414,aruja,SP,-23.406307,-46.364838,N
3599,7417,aruja,SP,-23.383802,-46.323443,N
3600,7422,arujá,SP,-23.388624,-46.354677,N
3601,7424,aruja,SP,-23.330629,-46.308394,N
3602,7428,aruja,SP,-23.407027,-46.323277,N
3603,7429,aruja,SP,-23.413979,-46.329393,N
3604,7430,aruja,SP,,,N
3605,7431,aruja,SP,-23.419419,-46.35509,N
3606,7432,aruja,SP,-23.420106,-46.364047,N
3607,7434,aruja,SP,-23.415885,-46.321248,N
3608,7435,aruja,SP,-23.415984,-46.315864,N
3609,7436,arujá,SP,-23.4148,-46.302482,N
3610,7437,aruja,SP,-23.425244,-46.294228,N
3611,7438,aruja,SP,-23.406609,-46.293051,N
3612,7439,aruja,SP,-23.400044,-46.282538,N
3613,7440,arujá,SP,-23.415946,-46.283254,N
3614,7443,aruja,SP,-23.41841,-46.305088,N
3615,7500,santa isabel,SP,-23.318323,-46.226107,N
3616,7600,mairipora,SP,-23.329722,-46.597122,N
3617,7700,caieiras,SP,-23.362945,-46.740967,N
3618,7703,caieiras,SP,-23.372233,-46.752824,N
3619,7704,caieiras,SP,-23.376305,-46.750696,N
3620,7705,mauá,SP,-23.659614,-46.475785,N
3621,7712,caieiras,SP,-23.355537,-46.745747,N
3622,7713,caieiras,SP,-23.352873,-46.748202,N
3623,7714,caieiras,SP,-23.347997,-46.758469,N
3624,7715,caieiras,SP,-23.346147,-46.751902,N
3625,7716,caieiras,SP,-23.343065,-46.746437,N
3626,7717,caieiras,SP,-23.334803,-46.75258,N
3627,7718,caieiras,SP,-23.337535,-46.756292,N
3628,7724,caieiras,SP,-23.357716,-46.733237,N
3629,7726,caieiras,SP,-23.374233,-46.702369,N
3630,7727,caieiras,SP,-23.373657,-46.677183,N
3631,7729,caieiras,SP,,,N
3632,7733,caieiras,SP,-23.409814,-46.673782,N
3633,7734,caieiras,SP,-23.403624,-46.692106,N
3634,7739,caieiras,SP,-23.392741,-46.713616,N
3635,7740,caieiras,SP,-23.391268,-46.712868,N
3636,7741,caieiras,SP,-23.393092,-46.708951,N
3637,7743,caieiras,SP,-23.377367,-46.709769,N
3638,7744,caieiras,SP,-23.391169,-46.716145,N
3639,7745,caieiras,SP,-23.381327,-46.719014,N
3640,7747,caieiras,SP,-23.390865,-46.718506,N
3641,7748,caieiras,SP,-23.391474,-46.730687,N
3642,7749,caieiras,SP,-23.385477,-46.738659,N
3643,7750,cajamar,SP,-23.373932,-46.863654,N
3644,7752,cajamar,SP,-23.363343,-46.85511,N
3645,7753,cajamar,SP,-23.329788,-46.920246,N
3646,7756,cajamar,SP,-23.389937,-46.863141,N
3647,7760,jordanesia,SP,-23.359344,-46.802574,N
3648,7764,cajamar,SP,-23.376681,-46.926805,N
3649,7767,cajamar,SP,-23.335586,-46.926222,N
3650,7768,cajamar,SP,-23.335312,-46.914586,N
3651,7770,polvilho,SP,-23.412196,-46.843424,N
3652,7776,cajamar,SP,-23.340395,-46.844019,N
3653,7778,cajamar,SP,-23.361581,-46.872339,N
3654,7781,cajamar,SP,-23.28553,-46.873671,N
3655,7784,cajamar,SP,,,N
3656,7785,cajamar,SP,-23.332318,-46.829192,N
3657,7786,cajamar,SP,-23.334961,-46.831191,N
3658,7787,cajamar,SP,-23.340235,-46.83014,N
3659,7788,cajamar,SP,-23.352216,-46.825699,N
3660,7789,cajamar,SP,-23.361274,-46.847801,N
3661,7790,cajamar,SP,-23.370879,-46.847968,N
3662,7791,cajamar,SP,-23.406858,-46.861154,N
3663,7792,cajamar,SP,-23.412184,-46.845135,N
3664,7793,cajamar,SP,-23.413764,-46.829923,N
3665,7794,cajamar,SP,-23.417368,-46.825502,N
3666,7801,franco da rocha,SP,-23.321932,-46.725784,N
3667,7802,franco da rocha,SP,-23.326394,-46.728671,N
3668,7803,franco da rocha,SP,-23.331105,-46.732246,N
3669,7804,franco da rocha,SP,-23.325202,-46.734123,N
3670,7807,franco da rocha,SP,-23.320803,-46.733053,N
3671,7808,franco da rocha,SP,-23.320097,-46.738978,N
3672,7809,franco da rocha,SP,-23.324454,-46.747234,N
3673,7810,franco da rocha,SP,-23.322991,-46.763581,N
3674,7811,franco da rocha,SP,-23.315386,-46.778289,N
3675,7812,franco da rocha,SP,-22.906828,-47.012232,N
3676,7813,franco da rocha,SP,-23.319159,-46.72429,N
3677,7830,franco da rocha,SP,-23.302631,-46.756891,N
3678,7832,franco da rocha,SP,-23.000242,-46.834887,N
3679,7835,franco da rocha,SP,-23.308469,-46.743573,N
3680,7836,franco da rocha,SP,-23.303917,-46.741258,N
3681,7840,franco da rocha,SP,-23.315773,-46.731406,N
3682,7841,franco da rocha,SP,-23.315625,-46.737477,N
3683,7842,franco da rocha,SP,-23.320634,-46.720688,N
3684,7844,franco da rocha,SP,-23.305051,-46.733904,N
3685,7845,franco da rocha,SP,-23.307773,-46.73007,N
3686,7846,franco da rocha,SP,-23.310597,-46.728647,N
3687,7847,franco da rocha,SP,-23.313336,-46.724899,N
3688,7849,franco da rocha,SP,-23.318002,-46.726292,N
3689,7850,franco da rocha,SP,-23.331777,-46.724697,N
3690,7851,franco da rocha,SP,-23.328494,-46.722316,N
3691,7852,franco da rocha,SP,-23.325312,-46.719684,N
3692,7853,franco da rocha,SP,-23.322833,-46.713597,N
3693,7854,franco da rocha,SP,-23.323586,-46.70762,N
3694,7855,franco da rocha,SP,-23.325363,-46.704015,N
3695,7856,franco da rocha,SP,-23.323376,-46.70079,N
3696,7857,franco da rocha,SP,-23.329789,-46.711778,N
3697,7858,franco da rocha,SP,-23.328576,-46.710473,N
3698,7859,franco da rocha,SP,-23.329128,-46.715937,N
3699,7860,franco da rocha,SP,-23.319686,-46.718579,N
3700,7861,franco da rocha,SP,-23.316047,-46.714457,N
3701,7862,franco da rocha,SP,-23.318994,-46.710243,N
3702,7863,franco da rocha,SP,-23.313681,-46.694236,N
3703,7865,franco da rocha,SP,-23.305807,-46.722394,N
3704,7866,franco da rocha,SP,-23.300037,-46.709538,N
3705,7867,franco da rocha,SP,-23.314739,-46.776559,N
3706,7868,franco da rocha,SP,-23.303133,-46.743399,N
3707,7901,francisco morato,SP,-23.282843,-46.74615,N
3708,7902,francisco morato,SP,-23.290737,-46.742608,N
3709,7903,francisco morato,SP,-23.295036,-46.740259,N
3710,7904,francisco morato,SP,-23.296725,-46.736921,N
3711,7905,francisco morato,SP,-23.289555,-46.762894,N
3712,7906,francisco morato,SP,-23.298304,-46.745247,N
3713,7907,francisco morato,SP,-23.296924,-46.748298,N
3714,7908,francisco morato,SP,-23.290319,-46.750014,N
3715,7909,francisco morato,SP,-23.289624,-46.744696,N
3716,7910,francisco morato,SP,-23.278827,-46.745889,N
3717,7911,francisco morato,SP,-23.284032,-46.751778,N
3718,7912,francisco morato,SP,-23.290324,-46.755645,N
3719,7913,francisco morato,SP,-23.288554,-46.761858,N
3720,7914,francisco morato,SP,-23.281368,-46.75298,N
3721,7915,francisco morato,SP,-23.276533,-46.741484,N
3722,7916,francisco morato,SP,-23.277356,-46.757967,N
3723,7917,francisco morato,SP,-23.276326,-46.750871,N
3724,7919,francisco morato,SP,-23.264344,-46.733146,N
3725,7920,francisco morato,SP,-23.271552,-46.748314,N
3726,7921,francisco morato,SP,-23.272574,-46.760773,N
3727,7929,francisco morato,SP,-23.263116,-46.755013,N
3728,7930,francisco morato,SP,-23.259126,-46.750256,N
3729,7934,francisco morato,SP,-23.284446,-46.750725,N
3730,7935,francisco morato,SP,-23.259574,-46.740831,N
3731,7936,francisco morato,SP,-23.261801,-46.742948,N
3732,7940,francisco morato,SP,-23.269966,-46.747616,N
3733,7941,francisco morato,SP,-23.268756,-46.744541,N
3734,7942,francisco morato,SP,-23.275632,-46.738338,N
3735,7943,francisco morato,SP,-23.266469,-46.739895,N
3736,7944,francisco morato,SP,-23.265565,-46.731746,N
3737,7945,francisco morato,SP,-23.263868,-46.731235,N
3738,7946,francisco morato,SP,-23.277589,-46.737882,N
3739,7950,francisco morato,SP,-23.273016,-46.746059,N
3740,7951,francisco morato,SP,-23.272692,-46.73255,N
3741,7952,francisco morato,SP,-23.273198,-46.728098,N
3742,7953,francisco morato,SP,-23.265194,-46.726009,N
3743,7955,francisco morato,SP,-23.26423,-46.720857,N
3744,7956,francisco morato,SP,-23.278056,-46.731701,N
3745,7957,francisco morato,SP,-23.269747,-46.732493,N
3746,7980,francisco morato,SP,-23.2771,-46.746447,N
3747,7985,francisco morato,SP,-23.284884,-46.70414,N
3748,7986,francisco morato,SP,-23.289276,-46.700079,N
3749,7987,francisco morato,SP,-23.288672,-46.707177,N
3750,7988,francisco morato,SP,-23.279315,-46.741858,N
3751,7989,francisco morato,SP,-23.297532,-46.714723,N
3752,7990,francisco morato,SP,-23.27923,-46.740174,N
3753,7991,francisco morato,SP,-23.28372,-46.739435,N
3754,7992,francisco morato,SP,-23.286688,-46.734478,N
3755,7995,francisco morato,SP,-23.295555,-46.729518,N
3756,7996,francisco morato,SP,-23.298426,-46.725361,N
3757,7997,francisco morato,SP,-23.271635,-46.73565,N
3758,7998,francisco morato,SP,-23.293259,-46.733359,N
3759,8010,sao paulo,SP,-23.494223,-46.438262,S
3760,8011,sao paulo,SP,-23.495362,-46.446728,S
3761,8020,sao paulo,SP,-23.504738,-46.441512,S
3762,8021,sao paulo,SP,-23.500142,-46.434586,S
3763,8022,sao paulo,SP,-23.493741,-46.425229,S
3764,8030,sao paulo,SP,-23.503206,-46.422284,S
3765,8031,sao paulo,SP,-23.511353,-46.423949,S
3766,8032,sao paulo,SP,-23.517487,-46.426787,S
3767,8040,sao paulo,SP,-23.508119,-46.448897,S
3768,8041,são paulo,SP,-23.515283,-46.440756,N
3769,8042,são paulo,SP,-23.508136,-46.434033,N
3770,8050,sao paulo,SP,-23.511213,-46.458845,S
3771,8051,sao paulo,SP,-23.513078,-46.467989,S
3772,8060,sao paulo,SP,-23.502299,-46.452412,S
3773,8061,sao paulo,SP,-23.502757,-46.464698,S
3774,8062,sao paulo,SP,-23.510317,-46.473192,S
3775,8070,sao paulo,SP,-23.496035,-46.461668,S
3776,8071,são paulo,SP,-23.490529,-46.449916,N
3777,8072,sao paulo,SP,-23.511512,-46.484294,S
3778,8080,sao paulo,SP,-23.487422,-46.430028,S
3779,8081,são paulo,SP,-23.48589,-46.419347,N
3780,8090,sao paulo,SP,-23.479659,-46.433346,S
3781,8110,sao paulo,SP,-23.498318,-46.399528,S
3782,8111,sao paulo,SP,-23.491955,-46.380064,S
3783,8115,sao paulo,SP,-23.490456,-46.389809,S
3784,8120,sao paulo,SP,-23.50322,-46.396141,S
3785,8121,sao paulo,SP,-23.502134,-46.384129,S
3786,8122,sao paulo,SP,-23.496347,-46.379433,S
3787,8130,sao paulo,SP,-23.506883,-46.373983,S
3788,8131,sao paulo,SP,-23.503144,-46.37624,S
3789,8132,sao paulo,SP,-23.509929,-46.375871,S
3790,8140,sao paulo,SP,-23.511204,-46.399333,S
3791,8141,sao paulo,SP,-23.514487,-46.39218,S
3792,8142,sao paulo,SP,-23.518745,-46.391347,S
3793,8143,sao paulo,SP,-23.516934,-46.464911,S
3794,8150,sao paulo,SP,-23.518635,-46.413807,S
3795,8151,sao paulo,SP,-23.518332,-46.403674,S
3796,8152,são paulo,SP,-23.512784,-46.406881,N
3797,8160,sao paulo,SP,-23.504404,-46.410147,S
3798,8161,sao paulo,SP,-23.503356,-46.413847,S
3799,8180,são paulo,SP,-23.4927,-46.421026,N
3800,8190,sao paulo,SP,-23.487776,-46.393985,S
3801,8191,sao paulo,SP,-23.480853,-46.383058,S
3802,8210,sao paulo,SP,-23.536999,-46.449594,S
3803,8215,sao paulo,SP,-23.539832,-46.444799,S
3804,8220,sao paulo,SP,-23.53741,-46.466583,S
3805,8223,sao paulo,SP,-23.526859,-46.471072,S
3806,8225,sao paulo,SP,-23.529819,-46.461783,S
3807,8226,sao paulo,SP,-23.552257,-46.534862,S
3808,8230,sao paulo,SP,-23.523145,-46.45295,S
3809,8233,sao paulo,SP,-23.525816,-46.472723,S
3810,8235,sao paulo,SP,-23.521545,-46.466547,S
3811,8240,sao paulo,SP,-23.523591,-46.443527,S
3812,8241,sao paulo,SP,-23.51928,-46.436539,S
3813,8245,são paulo,SP,-23.518936,-46.446073,N
3814,8246,sao paulo,SP,-23.531186,-46.438007,S
3815,8247,sao paulo,SP,-23.534802,-46.433892,S
3816,8248,sao paulo,SP,-23.529471,-46.433622,S
3817,8250,sao paulo,SP,-23.539944,-46.439816,S
3818,8253,sao paulo,SP,-23.549136,-46.439426,S
3819,8255,sao paulo,SP,-23.550586,-46.43585,S
3820,8257,sao paulo,SP,-23.553467,-46.428322,S
3821,8260,sao paulo,SP,-23.565855,-46.434938,S
3822,8265,sao paulo,SP,-23.580337,-46.45284,S
3823,8270,sao paulo,SP,-23.561186,-46.461301,S
3824,8275,sao paulo,SP,-23.571276,-46.479397,S
3825,8280,sao paulo,SP,-23.56119,-46.474486,S
3826,8285,sao paulo,SP,-23.553256,-46.472658,S
3827,8290,são paulo,SP,-23.553642,-46.452661,N
3828,8295,sao paulo,SP,-23.548035,-46.459298,S
3829,8310,sao paulo,SP,-23.628942,-46.467217,S
3830,8311,sao paulo,SP,-23.631164,-46.465823,S
3831,8320,sao paulo,SP,-23.627052,-46.473162,S
3832,8321,sao paulo,SP,-23.605179,-46.48897,S
3833,8330,sao paulo,SP,-23.613844,-46.467275,S
3834,8331,sao paulo,SP,-23.609722,-46.469167,S
3835,8340,sao paulo,SP,-23.610107,-46.460095,S
3836,8341,sao paulo,SP,-23.601071,-46.453584,S
3837,8342,sao paulo,SP,,,S
3838,8343,sao paulo,SP,-23.606127,-46.446847,S
3839,8344,são paulo,SP,-23.609871,-46.449168,N
3840,8345,sao paulo,SP,-23.610142,-46.444127,S
3841,8346,sao paulo,SP,-23.556541,-46.678324,S
3842,8347,sao paulo,SP,-23.520336,-46.577891,S
3843,8370,sao paulo,SP,-23.608567,-46.463477,S
3844,8371,sao paulo,SP,-23.596683,-46.431268,S
3845,8372,são paulo,SP,-23.602123,-46.436672,N
3846,8373,sao paulo,SP,-23.482444,-46.646851,S
3847,8375,sao paulo,SP,-23.60061,-46.463232,S
